age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
69, Private,232683, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,15, France
39, Self-emp-inc,304001, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States
20, State-gov,199884, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States
24, Private,236601, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,2339,43, United-States
65, Self-emp-not-inc,172906, Assoc-acdm,12, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States
33, Private,496743, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,88, United-States
52, Private,72257, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
31, Local-gov,378426, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,99, Columbia
37, State-gov,93225, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
27, Private,200802, Assoc-voc,11, Separated, Adm-clerical, Own-child, White, Female,0,0,40, United-States
24, Private,125012, Bachelors,13, Married-spouse-absent, Adm-clerical, Own-child, Black, Female,0,0,20, United-States
22, Private,198956, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,35, United-States
60, Private,209844, Some-college,10, Divorced, Adm-clerical, Other-relative, White, Female,0,0,40, United-States
31, Private,198452, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,18, United-States
39, Self-emp-inc,88973, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,84, United-States
44, Private,97159, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
42, Private,130126, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
17, Private,141445, 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States
20, ?,38032, HS-grad,9, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States
54, Self-emp-not-inc,207841, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,20, United-States
27, Private,102142, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States
23, Private,220993, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States
35, Private,165215, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,15, United-States
51, Private,253357, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
61, Self-emp-not-inc,48846, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States
34, Private,378723, 10th,6, Separated, Exec-managerial, Unmarried, White, Female,0,0,45, United-States
67, Private,192995, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,6723,0,40, United-States
18, Private,32059, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,23, United-States
57, Private,94156, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,84, United-States
57, Private,191873, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
42, Private,111589, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
47, Private,173938, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
28, Self-emp-inc,109001, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,60, United-States
59, Private,113838, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States
37, Private,178877, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States
19, ?,139517, 11th,7, Never-married, ?, Own-child, White, Male,0,0,25, United-States
20, Private,267945, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,15, United-States
36, Local-gov,152021, 11th,7, Divorced, Other-service, Unmarried, Black, Female,0,0,30, United-States
48, Self-emp-not-inc,172034, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
58, Private,35520, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7688,0,40, United-States
19, ?,505168, 9th,5, Never-married, ?, Other-relative, White, Female,0,0,40, United-States
64, ?,22228, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,10, United-States
47, Private,138069, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
43, Private,162887, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States
24, Private,153082, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States
38, Private,93717, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States
45, Private,22610, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
27, Private,394927, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
23, Private,251073, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
43, Private,67339, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,15, United-States
23, Private,345577, Some-college,10, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,26, United-States
28, Private,93235, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
47, Local-gov,263984, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Puerto-Rico
47, Private,245724, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
38, Private,129764, Some-college,10, Divorced, Sales, Unmarried, White, Male,1506,0,50, United-States
23, Private,132556, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
26, Private,362617, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States
28, Private,203784, Preschool,1, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,38, Mexico
18, State-gov,201117, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States
31, Private,103435, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
57, Private,156040, 5th-6th,3, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States
74, ?,132112, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,48, United-States
46, State-gov,171926, Masters,14, Divorced, Exec-managerial, Unmarried, White, Male,7430,0,50, United-States
33, Private,119017, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States
24, Private,183772, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States
61, Private,101701, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,20, United-States
30, Private,348592, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
33, Private,100294, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, United-States
27, Local-gov,230997, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States
30, State-gov,157990, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
33, Private,125762, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
53, Private,138022, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States
50, Local-gov,151143, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
48, State-gov,28419, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States
22, Private,196943, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
17, ?,74685, 10th,6, Never-married, ?, Own-child, White, Male,0,0,20, United-States
56, Private,169086, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, ?
52, Private,279129, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
57, Private,80149, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, Germany
27, Private,150767, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,48, United-States
24, Private,172594, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
38, Self-emp-inc,85566, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,65, United-States
52, Private,87858, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States
40, Private,133986, 10th,6, Separated, Transport-moving, Unmarried, White, Female,0,0,70, United-States
28, Private,212286, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States
46, Private,36020, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
41, Self-emp-inc,124330, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,30, United-States
40, Private,385266, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
24, Private,126613, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States
53, Local-gov,196395, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States
34, Private,104293, Assoc-acdm,12, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States
59, Private,254593, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States
40, State-gov,132125, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
28, Private,209301, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1848,40, United-States
20, Private,333838, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States
40, Private,191814, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States
25, Private,236421, 12th,8, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States
40, Private,232820, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States
25, Local-gov,270379, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States
29, Private,199118, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, Nicaragua
22, Private,125542, 11th,7, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States
19, Private,123807, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States
18, ?,39493, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,30, United-States
37, Local-gov,215618, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,80, United-States
41, Local-gov,231348, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
67, Private,72776, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,10566,0,15, United-States
23, Private,85139, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
34, Private,129775, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
44, Private,231793, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,52, United-States
41, Private,55395, Some-college,10, Married-spouse-absent, Other-service, Unmarried, White, Male,0,0,40, United-States
36, Private,465326, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
49, Self-emp-inc,106634, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,27828,0,35, United-States
28, Private,177036, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States
37, Private,318168, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,1055,0,20, United-States
32, Local-gov,178107, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States
78, Local-gov,87052, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,5, United-States
43, Private,147510, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, United-States
30, ?,121468, Bachelors,13, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female,0,0,40, Hong
30, Private,509364, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States
23, Private,390348, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,44, Japan
46, Private,131091, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
26, Private,58350, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States
18, Private,79077, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,22, United-States
45, Private,155664, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,44, United-States
29, Private,158096, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
43, Private,326232, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
38, Self-emp-inc,125645, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
28, Private,128055, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States
25, Private,90752, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,30, United-States
48, Local-gov,283037, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
52, ?,91447, Bachelors,13, Widowed, ?, Not-in-family, White, Female,0,2205,8, United-States
60, Private,220729, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
38, Private,365907, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
40, Private,108945, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,32, United-States
23, Private,32732, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States
46, Private,224559, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, United-States
40, Federal-gov,134638, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, United-States
33, Self-emp-not-inc,238186, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,98, United-States
31, Private,118941, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States
27, Private,278736, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico
43, Local-gov,212847, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
61, Private,215766, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
23, Private,197997, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States
30, Private,423311, HS-grad,9, Married-AF-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
34, Private,195144, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
75, ?,33673, Masters,14, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Male,0,0,26, United-States
45, Private,174386, HS-grad,9, Never-married, Other-service, Other-relative, White, Female,0,0,30, United-States
24, Self-emp-not-inc,151818, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States
46, Private,182862, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States
20, Private,376416, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States
44, Private,438696, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States
21, Local-gov,129050, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, United-States
44, Private,292985, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States
17, Private,153021, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,20, United-States
22, Private,227594, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States
26, State-gov,92795, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,80, United-States
70, Self-emp-not-inc,323987, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,8, United-States
28, Private,114673, Masters,14, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States
37, State-gov,180667, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
45, Federal-gov,211399, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States
38, Private,150057, Bachelors,13, Divorced, Sales, Own-child, White, Male,0,0,50, United-States
35, Private,304001, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
59, State-gov,139611, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1977,40, India
41, Private,228847, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
43, Private,346081, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States
22, Private,268525, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States
45, Private,125892, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, Poland
32, Private,101266, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, ?
24, Private,257621, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
41, Self-emp-inc,104813, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
25, Private,193787, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,0,0,45, United-States
47, Private,174794, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, England
23, Local-gov,49296, Some-college,10, Married-spouse-absent, Prof-specialty, Own-child, Black, Male,0,0,40, United-States
34, Federal-gov,207284, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
52, Local-gov,311569, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
37, Self-emp-not-inc,156897, Prof-school,15, Never-married, Prof-specialty, Own-child, White, Male,0,1564,55, United-States
44, Self-emp-not-inc,157237, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States
28, Private,119545, Bachelors,13, Separated, Sales, Not-in-family, White, Male,0,0,42, United-States
20, State-gov,444554, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States
24, Private,56121, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Mexico
42, Self-emp-inc,230592, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
61, Private,32209, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,2051,40, United-States
20, ?,117210, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States
30, Self-emp-not-inc,143078, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,2444,55, United-States
23, Private,40165, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Japan
21, Private,250939, Some-college,10, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,35, United-States
50, Private,82566, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States
22, ?,227943, Some-college,10, Never-married, ?, Not-in-family, White, Male,0,0,44, United-States
52, Private,279543, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Cuba
58, Private,270131, 5th-6th,3, Widowed, Other-service, Unmarried, White, Female,0,0,70, Mexico
24, Private,192812, Masters,14, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States
35, Private,232036, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
36, Private,348960, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
33, Private,307693, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,30, United-States
20, Private,112854, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,32, United-States
37, Local-gov,269323, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
54, Private,175339, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
20, ?,49819, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States
23, Private,157145, HS-grad,9, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
31, Private,48189, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States
25, Private,629900, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, United-States
38, Self-emp-inc,179579, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
41, Private,101593, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
40, Self-emp-not-inc,367819, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States
33, Private,189017, 12th,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
55, State-gov,100285, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Male,10520,0,40, United-States
26, Self-emp-not-inc,67240, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States
56, Self-emp-inc,42298, 9th,5, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States
49, Private,225456, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
40, Self-emp-inc,214781, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,65, United-States
26, Private,211199, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
28, Private,206889, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
30, State-gov,576645, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States
47, Private,380922, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States
37, Private,60548, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States
54, Self-emp-not-inc,180522, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States
49, Self-emp-not-inc,167281, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
